method,data,loss,accuracy, bi_precision, bi_recall, bi_f1, micro_precision, micro_recall, micro_f1, macro_precision, macro_recall, macro_f1, weighted_precision, weighted_recall, weighted_f1
# select best micro_f1 & w/o postfix
roberta-prompt-tune,gossipcop,0.6721834540367126,0.731587139050563,0.30222885144799233,0.21977849668342456,0.24796330072322798,0.731587139050563,0.731587139050563,0.731587139050563,0.5441598187592231,0.5572741032034656,0.541327128453573,0.669001225016984,0.731587139050563,0.692897664747993
roberta-prompt-tune,gossipcop,0.7159624695777893,0.6130061261783434,0.15114596484367665,0.32379255740300866,0.17941312948739713,0.6130061261783434,0.6130061261783434,0.6130061261783434,0.46321869702843876,0.5146761870374276,0.4308853864062798,0.6250983549238075,0.6130061261783434,0.5610442649475541
roberta-prompt-tune,gossipcop,0.6937989592552185,0.5818388195232689,0.26955307044126703,0.4931516491994355,0.31196723399649257,0.5818388195232689,0.5818388195232689,0.5818388195232689,0.45374675001568676,0.5509788172355139,0.4616502999579775,0.5496857745001058,0.5818388195232689,0.5401232881598214
roberta-prompt-tune,gossipcop,0.6745702028274536,0.6458958630183302,0.2564911676162451,0.25901060136071447,0.24672726899071917,0.6458958630183302,0.6458958630183302,0.6458958630183302,0.512529182306734,0.5139461920666575,0.5060949346937755,0.6459442227079101,0.6458958630183302,0.6407744817430633
roberta-prompt-tune,gossipcop,0.6433379054069519,0.6510501606008645,0.3639570105168357,0.3294322470110112,0.26910420819961817,0.6510501606008645,0.6510501606008645,0.6510501606008645,0.5760994192479554,0.5401476480503908,0.495917931198573,0.6864706751673015,0.6510501606008645,0.6145822861106933
roberta-fine-tune,gossipcop,0.7095432281494141,0.5737117395609438,0.17920155029256593,0.3528768226655427,0.1869411725643864,0.5737117395609438,0.5737117395609438,0.5737117395609438,0.39316457393731286,0.5003368101380724,0.39896031157471656,0.5035718439635064,0.5737117395609438,0.5074473577065703
roberta-fine-tune,gossipcop,0.7254402041435242,0.44988649262202046,0.21003852337177054,0.6026570048309179,0.23908736515889067,0.44988649262202046,0.44988649262202046,0.44988649262202046,0.25772299474284643,0.5004753866884559,0.2924014887830111,0.2834655316998375,0.44988649262202046,0.3216927686845702
roberta-fine-tune,gossipcop,0.6929506659507751,0.657461556419607,0.25507520549222173,0.2093880231354027,0.09546801033681981,0.657461556419607,0.657461556419607,0.657461556419607,0.43289933674733827,0.503078779036675,0.39345603679539926,0.5256947775091289,0.657461556419607,0.5497841526055061
roberta-fine-tune,gossipcop,0.7198894023895264,0.45136086491011984,0.14562484616405655,0.6,0.23429196300870184,0.45136086491011984,0.45136086491011984,0.45136086491011984,0.32557169083868776,0.5001850481125093,0.2907318302025357,0.42210368104857954,0.45136086491011984,0.3221033136544893
roberta-fine-tune,gossipcop,0.7080775499343872,0.44216810362177095,0.18813831956852667,0.6128484848484849,0.2534108875133557,0.44216810362177095,0.44216810362177095,0.44216810362177095,0.24646147649701416,0.4992734458329123,0.2968872116936103,0.2776077773071025,0.44216810362177095,0.32068187412342675
# 100-shot % stastified 5-fold
roberta-prompt-tune,gossipcop,0.5747296214103699,0.7993984752980575,0.615222143944463,0.45125960657322917,0.5156846114428747,0.7993984752980575,0.7993984752980575,0.7993984752980575,0.7280720151962441,0.680087095341818,0.6944400564836547,0.7869102942032329,0.7993984752980575,0.7876429250202135
roberta-prompt-tune,gossipcop,0.5548447966575623,0.7833961246488114,0.5990346367732436,0.3079574412263001,0.4006157985223432,0.7833961246488114,0.7833961246488114,0.7833961246488114,0.7048341687954625,0.6207836434759774,0.6340690369226079,0.7598284600070635,0.7833961246488114,0.755422284003615
roberta-prompt-tune,gossipcop,0.598174512386322,0.7810691911995555,0.6184198564082549,0.33860936526810487,0.4069137289961632,0.7810691911995555,0.7810691911995555,0.7810691911995555,0.718171751731404,0.6291034903836799,0.6355607670145096,0.7703473234051113,0.7810691911995555,0.7551714910352261
roberta-prompt-tune,gossipcop,0.5412606596946716,0.7933826486664896,0.6536529869089714,0.33924349881796695,0.437434329981823,0.7933826486664896,0.7933826486664896,0.7933826486664896,0.7359258217574628,0.6380355540093088,0.6552575997512935,0.7787000382914522,0.7933826486664896,0.7685075754718264
roberta-prompt-tune,gossipcop,0.5439698100090027,0.7822650598530039,0.6030093428191254,0.3473501475792801,0.43774227625376083,0.7822650598530039,0.7822650598530039,0.7822650598530039,0.709733002727103,0.6334691293446847,0.6512260431329304,0.7652316428379276,0.7822650598530039,0.7622477991022449
roberta-fine-tune,gossipcop,0.6284884214401245,0.7806700316371629,0.6294733659135857,0.43583568051362487,0.4460369793926837,0.7806700316371629,0.7806700316371629,0.7806700316371628,0.7338909700438925,0.6624907608088453,0.6528358378673065,0.7883298841750889,0.7806700316371629,0.7606655493902188
roberta-fine-tune,gossipcop,0.6620823740959167,0.7654624741388332,0.5014448232689668,0.3786209706906032,0.4205649611248593,0.7654624741388332,0.7654624741388332,0.7654624741388333,0.6612122849577629,0.6331520143899748,0.6362607254573749,0.7442622249862619,0.7654624741388332,0.7483840970658097
roberta-fine-tune,gossipcop,0.5350025296211243,0.7815234461161962,0.57098250201726,0.4138817167770794,0.4668549086555194,0.7815234461161962,0.7815234461161962,0.7815234461161962,0.7010322461212805,0.6552642563021016,0.6643289148187087,0.7690628511439355,0.7815234461161962,0.7676220862318768
roberta-fine-tune,gossipcop,0.6944847106933594,0.7727275903430176,0.590144404145842,0.31560283687943264,0.35898691155368034,0.7727275903430176,0.7727275903430176,0.7727275903430175,0.7016272386151845,0.6163537329172963,0.6090455751356215,0.7595867250121022,0.7727275903430176,0.7390613338629164
roberta-fine-tune,gossipcop,0.6143409609794617,0.7716536173432833,0.5405488254219233,0.41996334997971657,0.4687539811085726,0.7716536173432833,0.7716536173432833,0.7716536173432832,0.6843988311726175,0.6513337840693835,0.6614356941347117,0.759203459373947,0.7716536173432833,0.7616353072326457
# 1-shot % 5-fold
roberta-fine-tune,gossipcop,0.6805416941642761,0.5476032071871906,0.14599275178468832,0.42364132185894465,0.213872298197414,0.5476032071871906,0.5476032071871906,0.5476032071871906,0.37983263320747795,0.5054506868330583,0.3961768945252585,0.5022336146675882,0.5476032071871906,0.49110473152957457
roberta-fine-tune,gossipcop,0.6749993562698364,0.5550214375991178,0.09755959137343927,0.4,0.1568590731332204,0.5550214375991178,0.5550214375991178,0.5550214375991178,0.2775107187995589,0.5,0.337991350800707,0.37258409757280053,0.5550214375991178,0.4340601735968213
roberta-fine-tune,gossipcop,0.7101494669914246,0.44551645856980704,0.1419843182714678,0.6,0.2296237329125948,0.44551645856980704,0.44551645856980704,0.44551645856980704,0.22275822928490352,0.5,0.28738626458500166,0.2639431485105798,0.44551645856980704,0.31626038796961076
roberta-fine-tune,gossipcop,0.6715672016143799,0.5684974360212847,0.09210842845978584,0.3353846153846154,0.14383385119726516,0.5684974360212847,0.5684974360212847,0.5684974360212846,0.3376498779739132,0.48616267098102667,0.3604094368861019,0.46591083808124656,0.5684974360212847,0.47542633809405876
roberta-fine-tune,gossipcop,0.6839470863342285,0.6536594295650493,0.046821793416572076,0.2,0.07587951253161646,0.6536594295650493,0.6536594295650493,0.6536594295650494,0.32682971478252465,0.5,0.38301797397422593,0.4712804891646522,0.6536594295650493,0.541282911181647
roberta-prompt-tune,gossipcop,0.7462486028671265,0.39344355624250327,0.22380275303765895,0.6673257754453761,0.3084320797467516,0.39344355624250327,0.39344355624250327,0.39344355624250327,0.3366896196926118,0.48666562612958575,0.3131319326971736,0.39442684226695607,0.39344355624250327,0.3161891492414653
roberta-prompt-tune,gossipcop,0.7194696664810181,0.4474460839954597,0.21368520484054226,0.6025732248160243,0.25281870352880376,0.4474460839954597,0.4474460839954597,0.4474460839954597,0.3303309977593815,0.5016752592768637,0.3060607173817466,0.3902128710607706,0.4474460839954597,0.33269492293877845
roberta-prompt-tune,gossipcop,0.7026457786560059,0.44971623155505114,0.22920785163064378,0.6155970331455898,0.2599752959133433,0.44971623155505114,0.44971623155505114,0.44971623155505114,0.35185949765541896,0.5048440148682907,0.3034008498702089,0.4158118919930659,0.44971623155505114,0.32781192845454643
roberta-prompt-tune,gossipcop,0.6745414137840271,0.5584279147648143,0.14592687135088195,0.39806549682299625,0.1601446603313756,0.5584279147648143,0.5584279147648143,0.5584279147648143,0.40956120656790274,0.49977264475795574,0.3423258854251804,0.5470042204680082,0.5584279147648143,0.4407158537622566
roberta-prompt-tune,gossipcop,0.6898597478866577,0.5363497637275502,0.1937616818687803,0.41098815017031864,0.1765803516564105,0.5363497637275502,0.5363497637275502,0.5363497637275502,0.40550931898621545,0.4936534416865131,0.34447907495163477,0.516490646296249,0.5363497637275502,0.43164990235638995
# 0-shot & 5-fold
roberta-prompt-tune,gossipcop,0.7187036871910095,0.3092228850194412,0.239010808061364,0.8699629171817058,0.3666632487818119,0.3092228850194412,0.3092228850194412,0.3092228850194412,0.29646554419712967,0.4997335167711438,0.2537147382663774,0.32716580899720443,0.3092228850194412,0.19648100136003305
roberta-prompt-tune,gossipcop,0.6891238689422607,0.45607264472190695,0.14367685744245104,0.5769157041441266,0.2299629575296261,0.45607264472190695,0.45607264472190695,0.45607264472190695,0.33420957123804057,0.4958715953420157,0.3014963329502579,0.4335908243653754,0.45607264472190695,0.34010733788797204
roberta-prompt-tune,gossipcop,0.6529377102851868,0.749289025205078,0.06086956521739131,0.040875912408759124,0.04890829694323144,0.749289025205078,0.749289025205078,0.7492890252050781,0.412529076216852,0.506226261163669,0.4516767414745755,0.5961975908979978,0.749289025205078,0.6620687538595504
roberta-prompt-tune,gossipcop,0.6984550356864929,0.44665277207557497,0.150321899792082,0.584877738313726,0.2273890415854412,0.44665277207557497,0.44665277207557497,0.446652772075575,0.328241626438741,0.4968640427417572,0.2949411967143303,0.4192345973846339,0.44665277207557497,0.3273590327605943
roberta-prompt-tune,gossipcop,0.7197723388671875,0.4475869941475274,0.32584451087912264,0.6070774347699279,0.2455427957746529,0.4475869941475274,0.4475869941475274,0.4475869941475275,0.3153673014035393,0.5019325391275,0.29517879319240453,0.31000253990959825,0.4475869941475274,0.32121955507278743
roberta-fine-tune,gossipcop,0.703572154045105,0.3960988560710347,0.1929607497433153,0.7049763033175356,0.2994351844436822,0.3960988560710347,0.3960988560710347,0.3960988560710347,0.2493548113351028,0.49970933778334814,0.2949119685686798,0.28053490764636035,0.3960988560710347,0.2947765926745965
roberta-fine-tune,gossipcop,0.6784548163414001,0.6566105408908317,0.048354143019296254,0.2,0.07787934186471665,0.6566105408908317,0.6566105408908317,0.6566105408908317,0.32830527044541585,0.5,0.38447462867074245,0.4741732008645145,0.6566105408908317,0.5442718244401783
roberta-fine-tune,gossipcop,0.6966866850852966,0.5544267877412032,0.09646785970166075,0.4,0.155436821676948,0.5544267877412032,0.5544267877412032,0.5544267877412032,0.2772351497198723,0.49996299037749814,0.3374396946847615,0.37290007817624626,0.5544267877412032,0.4340234364627505
roberta-fine-tune,gossipcop,0.6926242113113403,0.48978311235620386,0.14737364711427067,0.5364620938628158,0.2299364872678563,0.48978311235620386,0.48978311235620386,0.48978311235620386,0.3046430443793356,0.5035076900803125,0.3367788610097892,0.3885686751937386,0.48978311235620386,0.39463850138148787
roberta-fine-tune,gossipcop,0.6913601160049438,0.5546809959668655,0.09733257661748014,0.4,0.15656637172566945,0.5546809959668655,0.5546809959668655,0.5546809959668656,0.27734049798343274,0.5,0.33780805149962434,0.3723020555664684,0.5546809959668655,0.43374588893448224
# 0-shot & full test set
roberta-prompt-tune,gossipcop,0.6937742829322815,0.472240666019715,0.2859417652411283,0.8045658203541711,0.4219300699300699,0.472240666019715,0.472240666019715,0.472240666019715,0.5713076061380106,0.5861064395888502,0.46821260344692184,0.7200464797450733,0.472240666019715,0.4923360650404391
roberta-prompt-tune,gossipcop,0.6950445175170898,0.4303590581745748,0.26487272727272726,0.7770428845743546,0.3950751206812388,0.4303590581745748,0.4303590581745748,0.4303590581745748,0.5427983468238744,0.5491445956581147,0.4284144485216917,0.6876592154851674,0.4303590581745748,0.4457916302271833
roberta-prompt-tune,gossipcop,0.671463131904602,0.7626027887021809,0.5730337078651685,0.03264348197141028,0.061768268066209116,0.7626027887021809,0.7626027887021809,0.7626027887021809,0.669128701488508,0.5124941825650766,0.46293886447398863,0.7192154990739914,0.7626027887021809,0.6720376916021049
roberta-prompt-tune,gossipcop,0.6963008046150208,0.37463608968793094,0.1723180990373775,0.42393855344570086,0.24503637933160682,0.37463608968793094,0.37463608968793094,0.37463608968793094,0.41841551075129313,0.39152877175373946,0.3556480937634494,0.546686826269987,0.37463608968793094,0.41330132149606874
